One Codex	SILVA	0.8543900185	0.8462172182	0.8502839799	0.9499357087	0.9625520111	0.9562022463	0.8602901384	0.9152870065	0.8835111863	0.9806208978	0.9798399594	0.9802071405	6	4	6	7	2	4	0.17	0.50	0.17	0.00	0.83	0.50	0.08	0.67	0.33
QIIME UCLUST	Greengenes	0.9873836608	0.9665924276	0.9768774299	0.9942706786	0.9422079228	0.96753944																					
QIIME UCLUST	SILVA	0.9933116414	0.8844358603	0.9357173265	0.9969593311	0.9470073813	0.9713415763	0.9903476511	0.925514144	0.9562973782	0.9956150049	0.9446076521	0.9694405082	3	3	3	3	5	5	0.67	0.67	0.67	0.67	0.33	0.33	0.67	0.50	0.50
QIIME SortMeRna SUMACLUST	SILVA	0.990891238	0.9569445565	0.9736220877	0.9975637955	0.9686460046	0.9828922476																					
QIIME SortMeRna SUMACLUST	Greengenes	0.9880711603	0.9687183845	0.9782990723	0.9938743628	0.9727978753	0.9832231825	0.9894811992	0.9628314705	0.97596058	0.9957190792	0.97072194	0.9830577151	4	1	1	2	3	2	0.50	1.00	1.00	0.83	0.67	0.83	0.67	0.83	0.92
CLARK	RefSeq Bacteria	0.7838418863	0.5165196728	0.6227033578	0.9917039185	0.9931838348	0.9924433249	0.7838418863	0.5165196728	0.6227033578	0.9917039185	0.9931838348	0.9924433249	7	7	7	6	1	1	0.00	0.00	0.00	0.17	1.00	1.00	0.08	0.50	0.50
																												
																												
Family level;error simulation;HC;25000 reads																												
Total Tools	7																											
Tools	Reference Database	Orginal values - 200(V3)			Orginal values - 400(V4-V5)			Avg. of orginal values - 200(V3)			Avg. of orginal values - 400(V4-V5)			Rank - 200(V3)			Rank - 400(V4-V5)			Adjusted rank - 200(V3)			Adjusted rank -400(V4-V5)			Avg. adjusted rank of V3 -V5 amplicon/16s regions)		
		Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure
BMP	Greengenes	0.9050729673	0.8512047405	0.8773127358	0.961944217	0.8248244527	0.8881229291																					
BMP	SILVA	0.9476568133	0.8245577349	0.8818320064	0.9799021744	0.823022168	0.8946367776	0.9263648903	0.8378812377	0.8795723711	0.9709231957	0.8239233104	0.8913798534	6	4	4	6	7	7	0.17	0.50	0.50	0.17	0.00	0.00	0.17	0.25	0.25
kraken	MiniKraken DB	0.994909764	0.6904303147	0.8151658768	0.997249869	0.9161085937	0.9549587209	0.994909764	0.6904303147	0.8151658768	0.997249869	0.9161085937	0.9549587209	1	6	6	1	2	2	1.00	0.17	0.17	1.00	0.83	0.83	1.00	0.50	0.50
mothur	SILVA	0.9826563213	0.6093231988	0.7522148187	0.9740674042	0.7728200523	0.8618515399																					
mothur	Greengenes	0.969330349	0.6542277385	0.781201248	0.9775111111	0.897934188	0.9360343874	0.9759933352	0.6317754687	0.7667080334	0.9757892577	0.8353771202	0.8989429637	2	7	7	4	6	6	0.83	0.00	0.00	0.50	0.17	0.17	0.67	0.08	0.08
One Codex	RefSeq 65	0.9852379069	0.9092199157	0.9457037428	0.9957158306	0.9615214685	0.9783199493																					
One Codex	One Codex 28k	0.8713442135	0.8428911978	0.8568815729	0.9659954489	0.929403503	0.9473462599																					
One Codex	SILVA	0.8135622026	0.6615228707	0.7297070705	0.8013860079	0.8177707221	0.8094954642	0.8900481077	0.8045446614	0.8440974621	0.9210324291	0.9028985645	0.9117205578	7	5	5	7	3	5	0.00	0.33	0.33	0.00	0.67	0.33	0.00	0.50	0.33
QIIME UCLUST	Greengenes	0.9308812405	0.8365196703	0.8811814724	0.9654030345	0.8903289718	0.926347434																					
QIIME UCLUST	SILVA	0.9590489381	0.8614855057	0.9076529832	0.9881223703	0.9116826398	0.9483647071	0.9449650893	0.849002588	0.8944172278	0.9767627024	0.9010058058	0.9373560706	3	3	3	3	5	3	0.67	0.67	0.67	0.67	0.33	0.67	0.67	0.50	0.67
QIIME SortMeRna SUMACLUST	SILVA	0.9549120407	0.8420811845	0.8949543616	0.9874943971	0.8911856316	0.9368714252																					
QIIME SortMeRna SUMACLUST	Greengenes	0.9264021888	0.8687248781	0.8966369494	0.9615468457	0.9144622274	0.9374136649	0.9406571148	0.8554030313	0.8957956555	0.9745206214	0.9028239295	0.9371425451	4	2	2	5	4	4	0.50	0.83	0.83	0.33	0.50	0.50	0.42	0.67	0.67
CLARK	RefSeq Bacteria	0.9303441656	0.8670557165	0.8975857127	0.9774111257	0.9715349065	0.9744641575	0.9303441656	0.8670557165	0.8975857127	0.9774111257	0.9715349065	0.9744641575	5	1	1	2	1	1	0.33	1.00	1.00	0.83	1.00	1.00	0.58	1.00	1.00
																												
																												
Family level;error simulation;LC;50000 reads																												
Total Tools	7																											
Tools	Reference Database	Orginal values - 200(V3)			Orginal values - 400(V4-V5)			Avg. of orginal values - 200(V3)			Avg. of orginal values - 400(V4-V5)			Rank - 200(V3)			Rank - 400(V4-V5)			Adjusted rank - 200(V3)			Adjusted rank -400(V4-V5)			Avg. adjusted rank of V3 -V5 amplicon/16s regions)		
		Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure
BMP	Greengenes	0.9334990817	0.8861601922	0.9092138704	0.9723429381	0.8431260112	0.9031359344																					
BMP	SILVA	0.9530627908	0.8271132111	0.8856324593	0.983976346	0.8365634123	0.9043017115	0.9432809363	0.8566367017	0.8974231649	0.9781596421	0.8398447118	0.903718823	4	3	3	6	7	7	0.50	0.67	0.67	0.17	0.00	0.00	0.33	0.33	0.33
kraken	MiniKraken DB	0.9942608406	0.7202016348	0.8353268655	0.9977851606	0.9028056112	0.9479221462	0.9942608406	0.7202016348	0.8353268655	0.9977851606	0.9028056112	0.9479221462	1	6	5	1	5	4	1.00	0.17	0.33	1.00	0.33	0.50	1.00	0.25	0.42
mothur	SILVA	0.9853353285	0.7322132589	0.8401224831	0.9808661863	0.8102677664	0.8874425642																					
mothur	Greengenes	0.9777285786	0.7546739904	0.851841646	0.9846908078	0.8960720297	0.9382936255	0.9815319536	0.7434436247	0.8459820646	0.9827784971	0.8531698981	0.9128680949	2	5	4	4	6	6	0.83	0.33	0.50	0.50	0.17	0.17	0.67	0.25	0.33
One Codex	RefSeq 65	0.9873787466	0.9165334574	0.9506380121	0.9967069381	0.9716492777	0.9840186128																					
One Codex	One Codex 28k	0.7004997728	0.8375706215	0.7629274086	0.9747331186	0.9486270492	0.961502913																					
One Codex	SILVA	0.7466271272	0.6897768783	0.7170769882	0.8457081256	0.8730813819	0.859176782	0.8115018822	0.8146269857	0.8102141363	0.9390493941	0.9311192363	0.9348994359	7	4	6	7	3	5	0.00	0.50	0.17	0.00	0.67	0.33	0.00	0.58	0.25
QIIME UCLUST	Greengenes	0.9449229623	0.907911639	0.9260476405	0.9750952819	0.9110574463	0.9419892718																					
QIIME UCLUST	SILVA	0.916852666	0.8781093453	0.8970628784	0.9916645128	0.9280027412	0.9587780219	0.9308878142	0.8930104922	0.9115552595	0.9833798974	0.9195300938	0.9503836469	5	2	2	3	4	3	0.33	0.83	0.83	0.67	0.50	0.67	0.50	0.67	0.75
QIIME SortMeRna SUMACLUST	SILVA	0.9758185608	0.890047219	0.9309614932	0.9923123046	0.9334824037	0.9619987752																					
QIIME SortMeRna SUMACLUST	Greengenes	0.9630122058	0.9147050908	0.9382372615	0.9818533393	0.940198592	0.9605745944	0.9694153833	0.9023761549	0.9345993774	0.987082822	0.9368404979	0.9612866848	3	1	1	2	2	2	0.67	1.00	1.00	0.83	0.83	0.83	0.75	0.92	0.92
CLARK	RefSeq Bacteria	0.9091997857	0.6122371018	0.731737013	0.9820918659	0.9802125321	0.981151299	0.9091997857	0.6122371018	0.731737013	0.9820918659	0.9802125321	0.981151299	6	7	7	5	1	1	0.17	0.00	0.00	0.33	1.00	1.00	0.25	0.50	0.50
																												
																												
Family level;error simulation;MC;50000 reads																												
Total Tools	7																											
Tools	Reference Database	Orginal values - 200(V3)			Orginal values - 400(V4-V5)			Avg. of orginal values - 200(V3)			Avg. of orginal values - 400(V4-V5)			Rank - 200(V3)			Rank - 400(V4-V5)			Adjusted rank - 200(V3)			Adjusted rank -400(V4-V5)			Avg. adjusted rank of V3 -V5 amplicon/16s regions)		
		Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure
BMP	Greengenes	0.9838440111	0.9688115895	0.9762699371	0.993936343	0.8733889615	0.9297716133																					
BMP	SILVA	0.9912962057	0.9393236676	0.9646103829	0.9961290914	0.8727498946	0.9303668842	0.9875701084	0.9540676286	0.97044016	0.9950327172	0.8730694281	0.9300692488	4	3	2	5	7	7	0.50	0.67	0.83	0.33	0.00	0.00	0.42	0.33	0.42
kraken	MiniKraken DB	0.995310221	0.8908437268	0.9401839841	0.9996086912	0.9710890138	0.985142486	0.995310221	0.8908437268	0.9401839841	0.9996086912	0.9710890138	0.985142486	1	5	4	1	4	3	1.00	0.33	0.50	1.00	0.50	0.67	1.00	0.42	0.58
mothur	SILVA	0.9954140069	0.8673319813	0.9269695474	0.9957889078	0.8924757087	0.9413060049																					
mothur	Greengenes	0.9940219499	0.8758896618	0.9312242826	0.9959317757	0.919017124	0.9559297967	0.9947179784	0.8716108216	0.929096915	0.9958603418	0.9057464164	0.9486179008	2	6	5	4	6	6	0.83	0.17	0.33	0.50	0.17	0.17	0.67	0.17	0.25
One Codex	RefSeq 65	0.9945344971	0.9622011782	0.978100698	0.999173587	0.9922336316	0.9956915166																					
One Codex	One Codex 28k	0.7314350463	0.9370178221	0.821560725	0.9931815415	0.9854623067	0.9893068666																					
One Codex	SILVA	0.847052822	0.8416274998	0.8443314457	0.9481777355	0.9646075459	0.956322079	0.8576741218	0.9136155	0.8813309562	0.9801776213	0.9807678281	0.9804401541	6	4	6	7	2	4	0.17	0.50	0.17	0.00	0.83	0.50	0.08	0.67	0.33
QIIME UCLUST	Greengenes	0.9864450707	0.9719705721	0.9791543314	0.9943806036	0.9500130698	0.9716906434																					
QIIME UCLUST	SILVA	0.9285744447	0.9434541047	0.9359551399	0.9975033044	0.9531484934	0.974821619	0.9575097577	0.9577123384	0.9575547357	0.995941954	0.9515807816	0.9732561312	5	2	3	3	5	5	0.33	0.83	0.67	0.67	0.33	0.33	0.50	0.58	0.50
QIIME SortMeRna SUMACLUST	SILVA	0.9908475843	0.963356807	0.9769088323	0.9981526335	0.9743137648	0.986089143																					
QIIME SortMeRna SUMACLUST	Greengenes	0.988890492	0.9700167809	0.9793627141	0.994296851	0.9747596637	0.9844313323	0.9898690382	0.966686794	0.9781357732	0.9962247423	0.9745367143	0.9852602377	3	1	1	2	3	2	0.67	1.00	1.00	0.83	0.67	0.83	0.75	0.83	0.92
CLARK	RefSeq Bacteria	0.7858816125	0.5122846203	0.620251942	0.9924374987	0.9943374174	0.9933865496	0.7858816125	0.5122846203	0.620251942	0.9924374987	0.9943374174	0.9933865496	7	7	7	6	1	1	0.00	0.00	0.00	0.17	1.00	1.00	0.08	0.50	0.50
																												
																												
Family level;error simulation;HC;50000 reads																												
Total Tools	7																											
Tools	Reference Database	Orginal values - 200(V3)			Orginal values - 400(V4-V5)			Avg. of orginal values - 200(V3)			Avg. of orginal values - 400(V4-V5)			Rank - 200(V3)			Rank - 400(V4-V5)			Adjusted rank - 200(V3)			Adjusted rank -400(V4-V5)			Avg. adjusted rank of V3 -V5 amplicon/16s regions)		
		Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure
BMP	Greengenes	0.9050407272	0.8337248249	0.8679202563	0.9582616179	0.8307290587	0.8899496037																					
BMP	SILVA	0.9484365091	0.8120118615	0.8749381216	0.9792368262	0.8224569115	0.8940255259	0.9267386182	0.8228683432	0.871429189	0.9687492221	0.8265929851	0.8919875648	6	4	4	6	7	7	0.17	0.50	0.50	0.17	0.00	0.00	0.17	0.25	0.25
kraken	MiniKraken DB	0.9936086394	0.7247026202	0.8381144922	0.9969792516	0.9068046447	0.9497563435	0.9936086394	0.7247026202	0.8381144922	0.9969792516	0.9068046447	0.9497563435	1	6	6	1	4	2	1.00	0.17	0.17	1.00	0.50	0.83	1.00	0.33	0.50
mothur	SILVA	0.9753035011	0.6184972272	0.7569610183	0.9701588942	0.7687583171	0.8577955454																					
mothur	Greengenes	0.9686013321	0.6655769859	0.7889943809	0.9773779956	0.891628733	0.9325362938	0.9719524166	0.6420371066	0.7729776996	0.9737684449	0.8301935251	0.8951659196	2	7	7	5	6	6	0.83	0.00	0.00	0.33	0.17	0.17	0.58	0.08	0.08
One Codex	RefSeq 65	0.9857482185	0.9081698817	0.9453701751	0.9954449968	0.9614109801	0.9781320253																					
One Codex	One Codex 28k	0.8675137379	0.8448493881	0.8560315735	0.963488452	0.9293567155	0.9461148524																					
One Codex	SILVA	0.8129713424	0.6578014184	0.7272009877	0.7981115637	0.8182059576	0.8080338518	0.8887444329	0.8036068961	0.8428675788	0.9190150042	0.9029912177	0.9107602432	7	5	5	7	5	5	0.00	0.33	0.33	0.00	0.33	0.33	0.00	0.33	0.33
QIIME UCLUST	Greengenes	0.940332853	0.8528872304	0.8944779172	0.9662416272	0.8955716437	0.9295654036																					
QIIME UCLUST	SILVA	0.9599115164	0.8818430657	0.919222705	0.9871661464	0.9216321244	0.9532741584	0.9501221847	0.8673651481	0.9068503111	0.9767038868	0.9086018841	0.941419781	4	1	1	4	3	4	0.50	1.00	1.00	0.50	0.67	0.50	0.50	0.83	0.75
QIIME SortMeRna SUMACLUST	SILVA	0.9685732397	0.8155652727	0.885508264	0.9892665474	0.9046532294	0.9450697836																					
QIIME SortMeRna SUMACLUST	Greengenes	0.934431063	0.8745674924	0.9035087719	0.9671071188	0.9193342133	0.9426157571	0.9515021514	0.8450663826	0.894508518	0.9781868331	0.9119937214	0.9438427704	3	3	3	2	2	3	0.67	0.67	0.67	0.83	0.83	0.67	0.75	0.75	0.67
CLARK	RefSeq Bacteria	0.9309133489	0.8628247962	0.895576785	0.9770683638	0.9736104576	0.9753363458	0.9309133489	0.8628247962	0.895576785	0.9770683638	0.9736104576	0.9753363458	5	2	2	3	1	1	0.33	0.83	0.83	0.67	1.00	1.00	0.50	0.92	0.92
																												
																												
Family level;error simulation;LC;100000 reads																												
Total Tools	7																											
Tools	Reference Database	Orginal values - 200(V3)			Orginal values - 400(V4-V5)			Avg. of orginal values - 200(V3)			Avg. of orginal values - 400(V4-V5)			Rank - 200(V3)			Rank - 400(V4-V5)			Adjusted rank - 200(V3)			Adjusted rank -400(V4-V5)			Avg. adjusted rank of V3 -V5 amplicon/16s regions)		
		Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure
BMP	Greengenes	0.9019351696	0.8938798797	0.8978894583	0.9720131789	0.8183483797	0.8885863374																					
BMP	SILVA	0.9639288413	0.8284721578	0.8910820821	0.9827398899	0.8166372507	0.8920220044	0.9329320055	0.8611760188	0.8944857702	0.9773765344	0.8174928152	0.8903041709	4	3	3	6	7	7	0.50	0.67	0.67	0.17	0.00	0.00	0.33	0.33	0.33
kraken	MiniKraken DB	0.9937710317	0.6970320896	0.8193624557	0.9978958895	0.931375496	0.9634888964	0.9937710317	0.6970320896	0.8193624557	0.9978958895	0.931375496	0.9634888964	1	6	5	1	4	2	1.00	0.17	0.33	1.00	0.50	0.83	1.00	0.33	0.58
mothur	SILVA	0.9855029466	0.7387212535	0.8444516345	0.9835574195	0.8081425401	0.8872630566																					
mothur	Greengenes	0.9785557873	0.7679292287	0.8605416985	0.9850085634	0.897802376	0.9393859044	0.982029367	0.7533252411	0.8524966665	0.9842829915	0.8529724581	0.9133244805	2	5	4	3	6	6	0.83	0.33	0.50	0.67	0.17	0.17	0.75	0.25	0.33
One Codex	RefSeq 65	0.9871644891	0.9136360877	0.948978144	0.9963774455	0.9715899968	0.9838276165																					
One Codex	One Codex 28k	0.6964778574	0.8368246517	0.760228118	0.9735051991	0.9498666393	0.9615406583																					
One Codex	SILVA	0.7533271806	0.6905637706	0.7205813678	0.8481733621	0.8729953171	0.8604053538	0.8123231757	0.8136748367	0.8099292099	0.9393520022	0.9314839844	0.9352578762	7	4	6	7	3	5	0.00	0.50	0.17	0.00	0.67	0.33	0.00	0.58	0.25
QIIME UCLUST	Greengenes	0.9453577014	0.9098037977	0.9272400569	0.9774061963	0.912604407	0.9438943894																					
QIIME UCLUST	SILVA	0.9076863311	0.8919647045	0.8997568463	0.9913480174	0.93335148	0.9614759504	0.9265220163	0.9008842511	0.9134984516	0.9843771069	0.9229779435	0.9526851699	5	2	2	2	5	4	0.33	0.83	0.83	0.83	0.33	0.50	0.58	0.58	0.67
QIIME SortMeRna SUMACLUST	SILVA	0.9589379266	0.8912316764	0.9238459593	0.9856539905	0.9373973686	0.9609202091																					
QIIME SortMeRna SUMACLUST	Greengenes	0.9245947851	0.9165457574	0.920552677	0.9757483091	0.9404294077	0.9577633602	0.9417663559	0.9038887169	0.9221993182	0.9807011498	0.9389133882	0.9593417847	3	1	1	4	2	3	0.67	1.00	1.00	0.50	0.83	0.67	0.58	0.92	0.83
CLARK	RefSeq Bacteria	0.9077889606	0.6091448717	0.729069361	0.9806076672	0.9804277355	0.9805176931	0.9077889606	0.6091448717	0.729069361	0.9806076672	0.9804277355	0.9805176931	6	7	7	5	1	1	0.17	0.00	0.00	0.33	1.00	1.00	0.25	0.50	0.50
																												
																												
Family level;error simulation;MC;100000 reads																												
Total Tools	7																											
Tools	Reference Database	Orginal values - 200(V3)			Orginal values - 400(V4-V5)			Avg. of orginal values - 200(V3)			Avg. of orginal values - 400(V4-V5)			Rank - 200(V3)			Rank - 400(V4-V5)			Adjusted rank - 200(V3)			Adjusted rank -400(V4-V5)			Avg. adjusted rank of V3 -V5 amplicon/16s regions)		
		Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure
BMP	Greengenes	0.9832210935	0.963113546	0.9730634544	0.992723384	0.859409906	0.9212688036																					
BMP	SILVA	0.989983876	0.9358886354	0.9621765234	0.9965146234	0.8574437568	0.9217631329	0.9866024848	0.9495010907	0.9676199889	0.9946190037	0.8584268314	0.9215159683	5	3	3	5	7	7	0.33	0.67	0.67	0.33	0.00	0.00	0.33	0.33	0.33
kraken	MiniKraken DB	0.9953739399	0.8944932019	0.9422410738	0.9993463452	0.9790966218	0.9891178537	0.9953739399	0.8944932019	0.9422410738	0.9993463452	0.9790966218	0.9891178537	2	5	4	1	3	2	0.83	0.33	0.50	1.00	0.67	0.83	0.92	0.50	0.67
mothur	SILVA	0.9963459056	0.8670987029	0.9272400569	0.9955648142	0.8924340388	0.9411826989																					
mothur	Greengenes	0.994579853	0.8757699071	0.9314013069	0.9956076931	0.9194646371	0.9560224455	0.9954628793	0.871434305	0.9293206819	0.9955862537	0.905949338	0.9486025722	1	6	5	3	6	6	1.00	0.17	0.33	0.67	0.17	0.17	0.83	0.17	0.25
One Codex	RefSeq 65	0.9952348324	0.9630704936	0.9788885202	0.9990520849	0.9916421436	0.9953333233																					
One Codex	One Codex 28k	0.7294221124	0.9393600237	0.8211856515	0.9925844771	0.9856652127	0.9891127443																					
One Codex	SILVA	0.8484169688	0.8458191362	0.8471160608	0.9489337009	0.9632068327	0.956016996	0.8576913045	0.9160832178	0.8823967442	0.9801900876	0.9801713963	0.9801543545	6	4	6	7	2	4	0.17	0.50	0.17	0.00	0.83	0.50	0.08	0.67	0.33
QIIME UCLUST	Greengenes	0.9888245715	0.9705605823	0.979607455	0.9940331492	0.949966309	0.9715002726																					
QIIME UCLUST	SILVA	0.9941649731	0.9543255936	0.9738379998	0.9967945706	0.9576198931	0.9768146193	0.9914947723	0.962443088	0.9767227274	0.9954138599	0.9537931011	0.974157446	4	2	2	4	5	5	0.50	0.83	0.83	0.50	0.33	0.33	0.50	0.58	0.58
QIIME SortMeRna SUMACLUST	SILVA	0.996178291	0.9627830416	0.9791960148	0.9976134385	0.97624465	0.9868133761																					
QIIME SortMeRna SUMACLUST	Greengenes	0.988937735	0.9732923587	0.9810526745	0.9942597538	0.977181991	0.9856469037	0.992558013	0.9680377002	0.9801243447	0.9959365962	0.9767133205	0.9862301399	3	1	1	2	4	3	0.67	1.00	1.00	0.83	0.50	0.67	0.75	0.75	0.83
CLARK	RefSeq Bacteria	0.7835383458	0.511018042	0.6185937284	0.9924125786	0.993702517	0.9930571289	0.7835383458	0.511018042	0.6185937284	0.9924125786	0.993702517	0.9930571289	7	7	7	6	1	1	0.00	0.00	0.00	0.17	1.00	1.00	0.08	0.50	0.50
																												
																												
Family level;error simulation;HC;100000 reads																												
Total Tools	7																											
Tools	Reference Database	Orginal values - 200(V3)			Orginal values - 400(V4-V5)			Avg. of orginal values - 200(V3)			Avg. of orginal values - 400(V4-V5)			Rank - 200(V3)			Rank - 400(V4-V5)			Adjusted rank - 200(V3)			Adjusted rank -400(V4-V5)			Avg. adjusted rank of V3 -V5 amplicon/16s regions)		
		Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure	Precision	Recall	F-measure
BMP	Greengenes	0.9121935439	0.8544805195	0.8823943583	0.9552183656	0.8326735451	0.8897462515																					
BMP	SILVA	0.9499083031	0.8270420889	0.8842274391	0.9765819751	0.8310996879	0.8979866216	0.9310509235	0.8407613042	0.8833108987	0.9659001704	0.8318866165	0.8938664366	5	4	4	6	7	7	0.33	0.50	0.50	0.17	0.00	0.00	0.25	0.25	0.25
